text,Favorites,Retweets,Tweet ID
Median household income is down for the middle class since Obama took office It will only go further down under Clinton,29974,10547,7.59E+17
A vote for ClintonKaine is a vote for TPP NAFTA high taxes radical regulation and massive influx of refugees,38383,16615,7.59E+17
"AMERICAS FUTURE
 …",11110,3681,7.59E+17
Bernie caved  ,14719,4669,7.59E+17
 Poll Donald Trump Sees 17Point Positive Swing in Two Weeks  Breitbart  …   Great,17304,6393,7.59E+17
President Obama spoke last night about a world that doesn’t exist 70 of the people think our country is going in the wrong direction  DNC,48386,16372,7.59E+17
   stay the course mr trump your message is resonating with the PEOPLE,24541,6663,7.59E+17
 Barack is offended that  will demand that  NATO allies pay their fair share  DemsInPhilly,25387,8150,7.59E+17
Our country does not feel great already to the millions of wonderful people living in poverty violence and despair,50126,17005,7.58E+17
Shooting deaths of police officers up 78 this year We must restore law and order and protect our great law enforcement officers,61924,20509,7.58E+17
"Join me live in Toledo Ohio
 MakeAmericaGreatAgain ",14494,3951,7.58E+17
 CrookedHillarypictwittercomlwi9gqDEHE,35420,19186,7.58E+17
"Thank you Pennsylvania
 MakeAmericaGreatAgain
",18858,5476,7.58E+17
Thank you to our amazing law enforcement officers  MAGApictwittercomUEZorOQhTw,45505,16119,7.58E+17
Trump right Illegal families crossing border set to double 51152 so far …,14195,6682,7.58E+17
"Great new poll  thank you
 MakeAmericaGreatAgainpictwittercommXovx0TLPC",37872,14069,7.58E+17
If Russia or any other country or person has Hillary Clintons 33000 illegally deleted emails perhaps they should share them with the FBI,62632,24580,7.58E+17
"Join our next Vice President  in Wisconsin tonight  Michigan Thursday

MI  …
WI  …",13457,4118,7.58E+17
Not one American flag on the massive stage at the Democratic National Convention until people started complaininhen a small one Pathetic,81998,30033,7.58E+17
Our not very bright Vice President Joe Biden just stated that I wanted to carpet bomb the enemy Sorry Joe that was Ted Cruz,37845,11668,7.58E+17
Crooked Hillary Clinton wants to flood our country with Syrian immigrants that we know little or nothing about The danger is massive NO,53345,16462,7.58E+17
Hopefully the violent and vicious killing by ISIS of a beloved French priest is causing people to start thinking rationally Get tough,40461,13213,7.58E+17
The Democratic Convention has paid ZERO respect to the great police and law enforcement professionals of our country No recognition  SAD,45379,15377,7.58E+17
Funny how the failing  is pushing Dems narrative that Russia is working for me because Putin said Trump is a genius America 1st,25906,7177,7.58E+17
As I have been saying Crooked Hillary will approve the job killing TPP after the election despite her statements to the contrary top adv,22316,6857,7.58E+17
Just like I have warned from the beginning Crooked Hillary Clinton will betray you on the TPPmcauliffehillaryclintontpptrade226253 …,22058,9639,7.58E+17
Many of Bernies supporters have left the arena Did Bernie go home and go to sleep,31664,8647,7.58E+17
I hate to say it but the Republican Convention was far more interesting with a much more beautiful set than the Democratic Convention,46582,10394,7.58E+17
No matter what Bill Clinton says and no matter how well he says it the phony media will exclaim it to be incredible Highly overrated,40709,10974,7.58E+17
